Event ID,Event Date,Brief Description,What Happened,Event Location,Latitude,Longitude,NZ Region,Where Happened,Sector,Number of Injured Persons,Vessel Class,Safety System,Country Flag,Gross Tonnage,Length Overall,Year of Build
EVT-4239,19/12/2022,A hydraulic hose oil leak occurred. Approx. 2-5L of biodegradable hydraulic oil was lost into the water. Spill was isolated on barge and largely contained with floating booms between two piling barges.,Oil Spill,"Kennedy Point Marina, Waiheke",-36.809766,175.025336,Auckland,Marina/boat ramp,Domestic Commercial,0,Barge,BSC,New Zealand,414.22,NULL,1983
EVT-4240,19/12/2022,"While clearing jammed fish in the filleting machine, crew member sustained a cut to their left palm. The crew member was admitted for surgery. ",Injury,"Coastal, Off Canterbury Coast",-43.704,174.2666,NULL,Coastal,Domestic Commercial,1,Trawler,MOSS,New Zealand,1899,64.05,1990
EVT-4242,19/12/2022,Vessel broke down and was towed to shore. ,Propulsion failure,Inshore Off Whanganui River Entrance,-39.994537,174.82014,Manawatu-Wanganui,Inshore,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,NULL,15.02,1988
EVT-4238,20/12/2022,"When approaching berth vessel failed to go astern. After three failed attempts, engine then fired. No further problems encountered & vessel berthed without incident.",Propulsion failure,Lyttelton Pilotage Area,-43.606542,172.718246,Canterbury,At berth,International Commercial,0,Bulk carrier,ISM,Liberia,44252,NULL,2012
EVT-4241,20/12/2022,There were numerous loose chocks which cause steps to roll under feet. Also the lowest spreader seemed twisted/damaged. A new ladder was advised.,Pilot Ladder Standards,Port of Tauranga ,-37.650518,176.178821,Bay of Plenty,In harbour,International Commercial,0,Container ship,ISM,Liberia,41358,NULL,2009
EVT-4244,20/12/2022,"Crew member appeared pale and was acting abnormally. Crew moved the individual into a cabin, where they then appeared to have a seizure. An ambulance was called, and the individual was assessed by paramedics.",Medical Event,Oster Bay,-41.300986,174.115566,Marlborough,Inshore,Domestic Commercial,1,Aquaculture vessel,MOSS,New Zealand,NULL,11.95,1984
EVT-4247,20/12/2022,"Skipper turned into corner and the rear passenger began to slip. Both passengers fell from the vessel, with the skipper landing on the rear passenger when they entered the water, with their weight caused bodily damage to rear passenger. ",Injury,Point Chevalier Beach,-36.851638,174.700086,Auckland,In harbour,Domestic Commercial,1,Personal Water Craft,SOP,New Zealand,NULL,NULL,2021
EVT-4257,20/12/2022,Worker received an electric shock from an unplugged cable while cleaning a laboratory space.,Injury,South Pacific Ocean ,-47.765,169.666667,NULL,Offshore,Domestic Commercial,1,Research vessel,ISM,New Zealand,2291,70,1991
EVT-4199,21/12/2022,Fatal medical event during a commercial operation.,Medical Event,Bluff Port,-46.590833,168.335346,Southland,In harbour,International Commercial,0,Container ship,ISM,Liberia,27093,NULL,2002
EVT-4243,21/12/2022,RIB capsized by large wave. Promptly righted vessel as they are designed to do and surfed it into shore. Engine successfully reinstated. ,Capsize,St Kilda Beach,-45.909716,170.512467,Otago,Inshore,Domestic Commercial,0,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4259,21/12/2022,A worker became unwell after accidental ingestion of wastewater while cleaning sumps from fish processing. Crew was evacuated from ship and seen by a GP. ,Injury,Otago ,-45.983333,170.8,Otago,Inshore,Domestic Commercial,1,Research vessel,ISM,New Zealand,2291,70,1991
EVT-4246,22/12/2022,"A passenger slipped and fell, hurting their lower back. The skipper decided to end the tour and return the passenger to port.",Injury,Deep Water Cove,-35.193424,174.302909,Northland,Inshore,Domestic Commercial,1,Passenger Ferry,MOSS,New Zealand,NULL,NULL,2022
EVT-4255,22/12/2022,Driver abruptly stopped their jet ski and another jet ski driver behind them misjudged their approach and hit the ski on the side. ,Contact,"Entrance to Tauranga harbour, Mt Maunganui ",-37.635103,176.16495,Bay of Plenty,In harbour,Domestic Commercial,0,Personal Water Craft,Safety Case,New Zealand,NULL,3.3,NULL
EVT-4306,22/12/2022,Fatal recreational boating accident.,Medical Event,Matarui Bay ,-35.03762,173.914226,Northland,Inshore,Recreational,0,Other Kayak,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4316,22/12/2022,"Crew member slipped while descending the stairs and their hand slid down the handrail, catching their finger on one of the stays attaching the handrail to the bulkhead.",Injury,Inshore New Plymouth,-39.05169,173.974081,Taranaki,Inshore,International Commercial,1,Offshore service vessel,ISM,Bahamas,3181,75.01,2011
EVT-4245,23/12/2022,The pilot ladder was rigged from deck head which is not compliant. There also were no stanchions.,Pilot Ladder Standards,Port of Tauranga,-37.660422,176.176435,Bay of Plenty,At berth,International Commercial,0,NULL,ISM,Bahamas,32477,NULL,2009
EVT-4251,23/12/2022,The pilot ladder was old and stretched. This resulted in loose and non-horizontal steps.,Pilot Ladder Standards,Port of Tauranga,-37.623934,176.207522,Bay of Plenty,Inshore,International Commercial,0,Container ship,ISM,Malta,39941,NULL,2005
EVT-4252,23/12/2022,"When commencing swing, the engine was requested to dead slow astern. It failed to fire on several attempts. Tugs repositioned and pulled to stop the vessel, anchors were on standby. The engine was able to be engaged and berth was completed. ",Propulsion failure,Port of Tauranga ,-37.661692,176.175793,Bay of Plenty,In harbour,International Commercial,0,Container ship,ISM,Malta,39941,NULL,2005
EVT-4254,24/12/2022,The engine failed to fire astern while approaching berth. The vessel was pulled up by tugs & berthed without incident. The engine tested once all fast and no further problems occurred with the engine.,Propulsion failure,Lyttelton Pilotage Area,-43.609891,172.723323,Canterbury,At berth,International Commercial,0,Container ship,ISM,Singapore,9932,NULL,2016
EVT-4256,24/12/2022,The pilot had to transfer sideways onto a platform at main deck level. This manoeuvre is hindered by the lack of vertical stanchions from the deck in line with the side ropes of the ladder. The horizontal painted bars require a shift of hand hold.,Pilot Ladder Standards,Lyttelton Pilotage Area ,-43.612709,172.718014,Canterbury,In harbour,International Commercial,0,Container ship,ISM,Malta,28050,NULL,2007
EVT-4258,24/12/2022,The powertrain 20amp fuse had failed and the vessel stopped 10 metres off the bank and started drifting. The master jumped in with the bow rope to get the vessel ashore.,Propulsion failure,"Lake Wanaka, by Albert Town ",-44.653275,169.145306,Otago,Lake,Domestic Commercial,0,Jetboat,SOP,New Zealand,NULL,5.91,2013
EVT-4263,24/12/2022,"Two people were swimming off the boat while on a fishing trip. They made contact with the propeller and received injuries. They both received multiple lacerations, resulting in surgeries.",Injury,Offshore from Pauanui,-37.024422,175.881317,Waikato,Inshore,Recreational,2,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4266,24/12/2022,Ladder had multiple loose steps causing them to rotate underfoot. The 2nd rubber step from the bottom was warped and tripping line was below the lowest spreader.,Pilot Ladder Standards,Port of Tauranga,-37.62272,176.185192,Bay of Plenty,Inshore,International Commercial,0,Chemical tanker,ISM,Panama,13120,NULL,2017
EVT-4284,24/12/2022,Moored vessel sustained damage after contact with another unidentified vessel. Starboard side damaged with rail bent and holes and cracks in the fibreglass. ,Contact,"Weiti River, Stillwater",-36.637854,174.723701,Auckland,River,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4293,24/12/2022,Crew member sustained a detached retina. The individual was transferred for treatment and underwent surgery.,Medical Event,Near Auckland Islands,-50.738451,166.873013,12NM to 200NM,Coastal,Domestic Commercial,1,Trawler,MOSS,New Zealand,2487,67.4,1989
EVT-4303,25/12/2022,Fatal recreational boating accident.,Capsize,Lake Rua,-43.462004,172.576173,Canterbury,Lake,Recreational,0,Canadian Canoe,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4328,25/12/2022,"Three boaties were swept out to sea on their dinghy, they were not able to make their way back to shore. They were rescued by police with the help of a recreational vessel after a member of the public alerted emergency services.",Unsafe Operation or Act,Kaikoura,-42.398773,173.693007,Canterbury,Inshore,Recreational,0,Dinghy,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4283,26/12/2022,Throttle stopped engaging in front of wave while parallel running. Wave hit and boat flipped sideways.,Capsize,Karioitahi,-37.284263,174.652013,Auckland,Inshore,Domestic Commercial,0,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4275,27/12/2022,"The master slipped forward with their hand on throttle. The boat rode up the wave face, flipping the boat vertically. The boat capsized and the master hit their head on the vessel, sustaining a laceration to their head and a torn knee ligament.",Capsize,Foxton Bar,-40.476169,175.215304,Manawatu-Wanganui,River/harbour bar,Recreational,1,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4281,27/12/2022,"While coming alongside a launch to conduct an inspection, the bow connected with the corner of the patrol boat's windscreen, breaking it and the side window. ",Contact,Mayor Island,-37.29982012,176.2283993,Bay of Plenty,Inshore,Domestic Commercial,0,Patrol boat,MOSS,New Zealand,NULL,7.58,2017
EVT-4281,27/12/2022,"While coming alongside a launch to conduct an inspection, the bow connected with the corner of the patrol boat's windscreen, breaking it and the side window. ",Contact,Mayor Island,-37.29982012,176.2283993,Bay of Plenty,Inshore,Domestic Commercial,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4309,27/12/2022,Vessel sunk after being engulfed in flames on Lake Taupo.,Fire,"Kinloch Beach, Taupo",-38.662742,175.915519,Waikato,Lake,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4419,27/12/2022,"Weather conditions deteriorated rapidly. Vessel began filling with water, and despite efforts of passengers to bail out water, vessel ended up capsizing. Passengers swam to shore.",Capsize,Bluff,-46.61291348,168.3114624,Southland,Inshore,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,12,NULL
EVT-4262,28/12/2022,"A passenger fell on board the vessel, injuring their shoulder. Crew provided first aid and then escorted them to receive care from ambulance staff. ",Medical Event,Tamaki River,-36.879436,174.896475,Auckland,In harbour,Domestic Commercial,1,Passenger/Vehicle Ferry,MOSS,New Zealand,232,44.75,1956
EVT-4272,28/12/2022,Vessel flipped while running parallel to wave.,Capsize,Himatangi Beach ,-40.3696048,175.2265187,Manawatu-Wanganui,Inshore,Domestic Commercial,1,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4276,28/12/2022,"Report from passenger that their child sustained burns, potentially chemical in nature, after sitting in a wet substance on a seat on the vessel's upper deck. Individual was transferred to hospital for assessment and treatment.",Injury,Wellington Harbour,-41.283422,174.847602,Wellington,In harbour,Domestic Commercial,1,Ro-Ro Passenger ship,ISM,New Zealand,17816,183.5,1998
EVT-4280,28/12/2022,"Driver in IRB hit a sand bar and dislocated their right shoulder. The IRB then became side onto the surf, and was struck by a wave, flipping the vessel.",Grounding,Himitangi Beach,-40.401103,175.22016,Manawatu-Wanganui,Inshore,Domestic Commercial,1,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4286,28/12/2022,Head on collision between two single sculls. River was narrow and filled with river weed. ,Contact,Kerrs Reach,-43.516126,172.681169,Canterbury,River,Recreational,0,Rowing boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4327,29/12/2022,Three people on board were crossing the harbour bar near low tide when their boat capsized. Two nearby jet skis rescued the boaties and brought them to shore. No injuries were sustained. ,Capsize,Whangamata,-37.201716,175.879695,Waikato,River/harbour bar,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4329,29/12/2022,Fatal recreational boating accident.,Person Overboard,Opihi River Mouth,-44.27989,171.349358,Canterbury,River,Recreational,0,Dinghy,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4265,30/12/2022,"Engineer lost their footing and slipped on a step, sustaining a dislocated shoulder and fractured rib.",Injury,Gulf Mussel Farms,-36.786729,175.494173,Waikato,In harbour,Domestic Commercial,1,Aquaculture vessel,MOSS,New Zealand,90,26.5,2001
EVT-4267,30/12/2022,When boarding it was observed that the ladder was stretched with large gaps between chocks and steps one a number of rungs. Bottom spreader was also somewhat warped.,Pilot Ladder Standards,Port of Tauranga,-37.618779,176.174079,Bay of Plenty,Inshore,International Commercial,0,Cargo ship,ISM,Hong Kong,20987,NULL,2009
EVT-4268,30/12/2022,Jet boat collided with another vessel going downstream. Skipper required immediate medical attention. Otago helicopter arrived with two medics to administer first aid and take him to Dunedin Hospital. ,Collision,Near Albert Town,-44.680704,169.188907,Otago,River,Domestic Commercial,1,Jetboat,SOP,New Zealand,NULL,6.5,NULL
EVT-4269,30/12/2022,Pilot ladder was in poor condition. The side ropes stretched which caused numerous loose chocks.,Pilot Ladder Standards,Port of Tauranga ,-37.619621,176.179061,Bay of Plenty,Inshore,International Commercial,0,Container ship,ISM,Liberia,9684,142.7,2009
EVT-4288,30/12/2022,Power boat capsized with four people onboard after been hit side on by a wave. Passenger activated EPIRB and passengers were rescued by a 13 metre tender.,Capsize,10 NM of Cape Brett,-35.136667,174.532167,Northland,Inshore,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4279,31/12/2022,Crew member developed chest pain. Approaching Wellington the chest pain increased and their condition deteriorated. Ambulance called and crew member taken to Wellington Hospital.,Medical Event,Cook Strait ,-41.365069,174.63689,Wellington,Inshore,Domestic Commercial,1,Ro-Ro Passenger ship,ISM,New Zealand,22365,181.6,1995
EVT-4290,31/12/2022,"Vessel drifted while at anchor in Oneroa Bay. At 0530 hrs the yacht collided with a launch. The anchors then became ensnared, causing the vessels to be bound and bounce.",Dragged anchor,Oneroa Bay,-35.257443,174.137217,Northland,In harbour,Recreational,0,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4290,31/12/2022,"Vessel drifted while at anchor in Oneroa Bay. At 0530 hrs the yacht collided with a launch. The anchors then became ensnared, causing the vessels to be bound and bounce.",Dragged anchor,Oneroa Bay,-35.257443,174.137217,Northland,In harbour,Recreational,0,Yacht,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4295,31/12/2022,On departure during manoeuvre the pilot was informed by the master that the vessel only had enough air for five starts. Was able to safely complete departure with remaining start air.,Propulsion failure,Napier,-39.463551,176.914545,Hawke's Bay,In harbour,International Commercial,0,Livestock carrier,ISM,Panama,40347,NULL,1990
EVT-4261,1/01/2023,"A crew member slipped and fell while in the galley, burning their forearm on the grill. Burns treatment was applied and they were taken to hospital once the vessel had returned to shore. ",Injury,"East Head, Tory Channel ",-41.215418,174.321948,Marlborough,Inshore,Domestic Commercial,1,Ro-Ro Passenger ship,ISM,New Zealand,21856,186,1997
EVT-4291,1/01/2023,Two jet skis collided after one experienced limited visibility to whitewash and water in the air. One driver was hit from behind and sustained a crushing injury to their leg. The jet ski sustained major damage.,Collision,"Whakaipo Bay, Lake Taupo ",-38.692764,175.950637,Waikato,Lake,Recreational,1,Personal Water Craft,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4282,2/01/2023,"Vessel caught a wave on the nose, which washed over the boat and cut the engine out, before a wave hit the boat causing it to flip.",Capsize,Pauanui Beach,-37.013341,175.868615,Waikato,Inshore,Domestic Commercial,0,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4271,3/01/2023,The platform was too low which made it difficult for the pilot boat to come alongside. The platform was not 5 metres above the water. The gangway wasn't secured to ships hull.,Pilot Ladder Standards,Port of Tauranga ,-37.665978,176.1756,Bay of Plenty,In harbour,International Commercial,0,Container ship,ISM,Marshall Islands,40030,NULL,2009
EVT-4331,3/01/2023,Vessel underway when left drive suddenly started to heavily vibrate. Vessel stopped and equipment checked with no obvious damage. Returned to port to safety transfer passengers.  Later found out one blade missing from port propeller.,Equipment failure,"Endeavour Inlet, Marlborough",-41.135745,174.173641,Marlborough,In harbour,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,NULL,2020
EVT-4264,4/01/2023,RCCNZ were advised that there was an injured person onboard a vessel. The vessel diverted to Bluff to take the crew member to shore. They had fallen in rough seas and injured their arm.,Injury,500 NM from Bluff,-54.541821,168.766873,Outside 200NM,Offshore,International Commercial,1,Cruise ship,ISM,Wallis and Futuna,10992,NULL,2013
EVT-4273,4/01/2023,"While trying to come alongside vehicle carrier, the pilot vessel got close to the transom in rough sea and made contact with the vehicle carrier's hull. Damage was sustained to pilot vessel's port side window with no damage to the vehicle carrier.",Contact,Inshore off Auckland,-36.722833,174.842033,Auckland,Inshore,Domestic Commercial,0,Pilot vessel,MOSS,New Zealand,NULL,14.9,2007
EVT-4273,4/01/2023,"While trying to come alongside vehicle carrier, the pilot vessel got close to the transom in rough sea and made contact with the vehicle carrier's hull. Damage was sustained to pilot vessel's port side window with no damage to the vehicle carrier.",Contact,Inshore off Auckland,-36.722833,174.842033,Auckland,Inshore,Domestic Commercial,0,Vehicle carrier,ISM,Norway,68392,NULL,2010
EVT-4274,4/01/2023,A near miss occurred after two vessels were in close proximity. One vessel was forced to alter course to avoid collision. ,Near miss/close quarters,"Passing North Head, Auckland Harbour ",-36.832697,174.811233,Auckland,In harbour,Recreational,0,Pleasure craft,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4300,4/01/2023,"A wave broke with force onto the bow of the boat. The driver kept the vessel afloat, however two crew members fell overboard, with one sustaining a muscle tear to their leg.",Injury,Tolaga Bay,-38.37769,178.313501,Gisborne,Inshore,Domestic Commercial,1,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4319,4/01/2023,A vessel advised RCCNZ of a crew member experiencing a medical event. Medical advice from Life flight was for the crew person to be medevac'd off as soon as practicable. A helicopter was dispatched to transfer passenger to hospital.,Medical Event,Coastal off Christchurch,-43.909191,174.164101,12NM to 200NM,Coastal,Domestic Commercial,1,Trawler,MOSS,New Zealand,1899,64.05,1991
EVT-4336,4/01/2023,Two crew fell overboard after a wave pushed the vessel vertically. One crew member made their way back onto the boat and regained control of the vessel. The other crew person was brought to shore and taken to hospital for a check up.,Person Overboard,Tolaga Bay ,-38.367128,178.306879,Gisborne,Inshore,Domestic Commercial,1,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4277,5/01/2023,"Master launched their boat into the water and hit a surfer front on, fracturing their arm.",Collision,Tokerau Beach,-34.897584,173.37216,Northland,Inshore,Recreational,1,Pleasure craft,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4350,5/01/2023,Crew member evacuated from vessel after family raised concerns about the crew member's wellbeing. The crew member was transferred to another vessel and returned to shore.,Medical Event,Ross Sea,-73.1019444,178.5419444,NULL,Beyond Offshore,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,1079,46.5,1993
EVT-4285,6/01/2023,Engine cut out in the inside surf break zone. The driver attempted to restart the engine a number of times. Multiple waves hit the boat before a wave overturned the boat. Both crew and driver were not injured and returned to the beach safely.,Capsize,Papamoa Beach,-37.694941,176.287537,Bay of Plenty,Inshore,Domestic Commercial,0,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4287,7/01/2023,A crew member accidentally cut themself while cutting a mooring rope.,Injury,Nelson,-41.259544,173.273778,Nelson,At berth,International Commercial,1,Cargo ship,ISM,New Zealand,1653,NULL,2007
EVT-4302,7/01/2023,"Fishing vessel heading to Motutapu Island. When going through the channel, charter vessel passed close starboard and then veered in front. Skipper of fishing vessel had to idle boat to avoid collision.",Near miss/close quarters,Motukorea Channel ,-36.826542,174.90552,Auckland,Inshore,Domestic Commercial,0,Charter passenger vessel,MOSS,New Zealand,NULL,11.43,1930
EVT-4302,7/01/2023,"Fishing vessel heading to Motutapu Island. When going through the channel, charter vessel passed close starboard and then veered in front. Skipper of fishing vessel had to idle boat to avoid collision.",Near miss/close quarters,Motukorea Channel ,-36.826542,174.90552,Auckland,Inshore,Domestic Commercial,0,Other fishing vessel,MOSS,New Zealand,NULL,13.95,1973
EVT-4289,8/01/2023,"Two logs slipped from a lift while loading into the vessel hold and struck a digger. No people were in the vicinity of incident, no risk of injury but damage occurred to the digger. ",Log Handling,Port of Tauranga,-37.660926,176.181082,Bay of Plenty,At berth,International Commercial,0,Bulk carrier,ISM,Tuvalu,20954,179.9,2012
EVT-4390,8/01/2023,"A rowing boat became submerged after another boat circled round them, creating a large wake. A mayday call was made and the occupants bailed out water to the best of their ability before heading to shore.",Flooded,"Two Mile Bay, Lake Taupo",-38.711808,176.080019,Waikato,Lake,Recreational,0,Rowing boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4270,9/01/2023,"Crane wire failure. Uncontrolled drop at stanchion height, causing logs to fall onto the hold, deck and berth areas. Exclusion zones in place. No injuries to crew or stevedores.",Log Handling,Marsden Point,-35.832276,174.486006,Northland,At berth,International Commercial,0,Bulk carrier,ISM,Singapore,17023,NULL,2009
EVT-4294,9/01/2023,The pilot ladder was secured with rope not equal to strength of ladder side ropes. This was noticed only after boarding vessel.,Pilot Ladder Standards,Port of Tauranga,-37.655179,176.181061,Bay of Plenty,Inshore,International Commercial,0,Bulk carrier,ISM,Marshall Islands,19883,NULL,2003
EVT-4299,9/01/2023,Skipper was seriously injured while working on mussel barge.,Injury,"Man of War Bay, Waiheke Island",-36.789129,175.164871,Auckland,Inshore,Domestic Commercial,1,Aquaculture vessel,MOSS,New Zealand,45,24.3,1990
EVT-4321,9/01/2023,Driver and crew were in IRB driving parallel to beach. Approx 10 metres off shore heading north when they tried to turn into shore but ran aground. Wave has hit the stern of the IRB causing it to roll. No injuries and no damage to IRB.,Grounding,Whiritoa Beach,-37.28167,175.9037,Waikato,Inshore,Domestic Commercial,0,Patrol boat,Commercial - No System,New Zealand,NULL,3.8,NULL
EVT-4326,9/01/2023,Passenger was returning from the bow through a port side door when the wind caught it and the door shut on the passenger's finger. First aid was given on board.,Injury,Milford Sound,-44.644904,167.903773,Southland,Inshore,Domestic Commercial,1,Passenger Ferry,MOSS,New Zealand,582,34,2003
EVT-4314,10/01/2023,IRB went over a wave and then wind caught it causing it to flip over. IRB caught a wave back in and was reinstated.,Capsize,"Omaha Beach, Auckland",-36.339098,174.782083,Auckland,Inshore,Domestic Commercial,0,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4345,10/01/2023,Vessel lost two empty containers overboard after pitching and rolling violently in rough seas.,Cargo shift,Offshore Tauranga,-36.514892,177.441556,NULL,Offshore,International Commercial,0,Container ship,ISM,Singapore,41678,266,2013
EVT-4360,10/01/2023,RCCNZ were contacted by the vessel about a crew member sustaining serious injuries in a fall. A helicopter was tasked in transporting the crew member to hospital.,Injury,Offshore New Plymouth,-38.323726,173.222102,NULL,Offshore,International Commercial,1,Cruise ship,ISM,Bermuda,91627,NULL,2002
EVT-4301,11/01/2023,"While heaving the anchor, the weight came on the cable and the meshing gear drive shaft came loose. This resulted in the anchor dropping to 6.5 shackles. The bosun secured the brake and repairs were undertaken.",Lifting/Cargo gear failure,Mahia Peninsula ,-39.12686432,177.8087425,Hawke's Bay,Inshore,Domestic Commercial,0,Container ship,ISM,Singapore,15636,NULL,2008
EVT-4371,12/01/2023,"The vessel ran aground in low tide while it had stopped with the anchor down. The vessel was unable to be pushed, all passengers were transported back via another vessel. A few hours later the vessel refloated and was moored successfully.",Grounding,"Waiti Bay, Moturua Island",-35.227928,174.188747,Northland,Inshore,Domestic Commercial,0,Charter Yacht,MOSS,New Zealand,NULL,10,NULL
EVT-4307,13/01/2023,Two jet ski drivers ignoring the river rules for both lanes and speed resulting in a near miss with commercial jet boat tour.,Near miss/close quarters,Waikato River,-37.895453,175.482847,Waikato,River,Domestic Commercial,0,Jetboat,SOP,New Zealand,NULL,5.5,NULL
EVT-4311,13/01/2023,"While under tow, bowsprit broke and smashed the windows of the towing vessel. No injuries occurred to anyone on either boat.",Contact,"Aldermen Islands, Waikato",-36.944067,176.090567,Waikato,Inshore,Domestic Commercial,0,Workboat,MOSS,New Zealand,NULL,NULL,2018
EVT-4365,13/01/2023,"Individual learning to wake foil was attempting to pull out of the water, and while coming off the board, hit their leg and broke their left femur. Was carefully ferried to shore on the boat, and then airlifted to Rototuna.",Injury,Taupo,-38.71585,176.071,Waikato,Lake,Recreational,1,Sailboard,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4366,13/01/2023,IRB operating parallel to the shore when struck by wave and capsized.,Capsize,"Ocean Beach, Whangarei",-35.83826,174.574,Northland,Inshore,Domestic Commercial,0,Patrol boat,MOSS,New Zealand,NULL,NULL,NULL
EVT-4305,14/01/2023,Skipper of the vessel noticed another vessel in the same course. They had to sound their horn to avoid a collision and took their vessel out of gear and gave a kick astern to slow down. ,Near miss/close quarters,"Matiatia Bay, Waiheke Island",-36.78122,174.988311,Auckland,Inshore,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,172,32,1999
EVT-4313,14/01/2023,"Loss of steering occurred due to hydraulic line failure. Boat was at anchor, no passengers were onboard. Coastguard notified and provided tow back to berth.",Steering gear failure,"Moutohora Island, Whakatane",-37.861406,176.980027,Bay of Plenty,Inshore,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,12.4,2006
EVT-4317,14/01/2023,"Passenger was sea sick, fell to floor and was assisted by other crew. Once taken ashore was met by ambulance for assessment. ",Medical Event,Bay of Islands,-35.205005,174.127393,Northland,Inshore,Domestic Commercial,1,Charter fishing vessel,MOSS,New Zealand,NULL,8.5,2014
EVT-4343,14/01/2023,"A recreational power boat hit a kayaker in Lyttleton harbour. The power boat passengers called an ambulance and took the kayaker to the boat ramp, then to hospital.",Injury,Lyttelton Harbour,-43.619112,172.6762,Canterbury,Inshore,Recreational,1,Power Boat,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4598,14/01/2023,IRB flipped causing two crew to be thrown from vessel.  No injuries.,Capsize,Waitarere Beach ,-40.549967,175.192537,Manawatu-Wanganui,Inshore,Domestic Commercial,0,Patrol boat,Commercial - No System,New Zealand,NULL,NULL,NULL
EVT-4308,15/01/2023,Pilot ladder uneven steps and poor condition.,Pilot Ladder Standards,Whangarei Inshore,-35.76236,174.35198,Northland,In harbour,International Commercial,0,Tanker,ISM,Isle of Man,30948,NULL,2016
EVT-4310,15/01/2023,"Cranston failure, releasing load of logs at height. No injuries - exclusion zones in place. Stevedoring company froze scene and alerted Maritime New Zealand of the incident. ",Log Handling,Port of Napier,-39.472269,176.920084,Hawke's Bay,At berth,International Commercial,0,Bulk carrier,ISM,Marshall Islands,36332,NULL,2015
EVT-4320,15/01/2023,"Driver started the motor when a large wave peaked in front of them. Driver evacuated the vessel as the wave struck, causing the vessel to roll.  No injuries or damage sustained.",Capsize,Whiritoa Beach,-37.28167,175.9037,Waikato,Inshore,Domestic Commercial,0,Patrol boat,Commercial - No System,New Zealand,NULL,3.8,NULL
EVT-4356,15/01/2023,"Reports were received of a possible heart attack on a vessel off Port Jackson, Coromandel Peninsula. Rescue helicopter winched the patient off the vessel before taking them to Auckland Hospital.",Medical Event,"Port Jackson, Coromandel",-36.473318,175.331404,Waikato,Inshore,Recreational,1,Pleasure craft,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4359,15/01/2023,A yacht was taking on water and alerted their ERIPB. Rescue operations commenced before the skipper downgraded the alarm and attempted to make their way to the nearest town. Coastguard met the yacht and shadowed the vessel into the harbour.,Flooded,East of Cape Brett,-35.16146,174.609629,NULL,Coastal,Recreational,0,Yacht,Pleasure - No System,New Zealand,NULL,NULL,NULL
EVT-4364,15/01/2023,"Machinery failure, alarms sounded.  Drive belt to alternator jammed and created smoke.",Propulsion failure,Auckland Harbour,-36.84034,174.7507,Auckland,In harbour,Domestic Commercial,0,Passenger Ferry,MOSS,New Zealand,NULL,20.7,2000
EVT-4312,16/01/2023,Stevedore fell through a defective handrail on starboard side of vessel from a height of approximately 10 metres and landed in the water.  Stevedore swam to stern of vessel and extricated themselves from the water. No injuries sustained.,Person Overboard,Nelson Container Terminal,-41.26134,173.269375,Nelson,At berth,International Commercial,0,Container ship,ISM,Hong Kong,26404,NULL,2008
